policyholder_id,make,model,manufacture_year,vehicle_type,vin,registration_number,engine_capacity,fuel_type,seating_capacity,market_value,odometer_reading,has_anti_theft,has_airbags,has_abs,is_modified
ZW-PH-2073767730,Volkswagen,Passat,2010,HATCHBACK,B3SNXZYASAFB6RCED,QAY 4330,2380,DIESEL,5,2506.18,288027,False,True,True,False
ZW-PH-2073767730,Volkswagen,Amarok,2013,SEDAN,X12815TELZF7C94XD,NHO 2448,1559,PETROL,5,10415.95,228254,False,True,True,False
ZW-PH-6372044912,BMW,3 Series,2016,SEDAN,4GMJNHE00F6DLMEBD,AFK 1123,1263,DIESEL,5,21691.32,249646,False,True,True,True
ZW-PH-6372044912,Mitsubishi,Colt,2009,SUV,KWLDGR3A1MS4YP16S,ISU 0037,4212,DIESEL,7,8644.19,353465,False,True,True,False
ZW-PH-4013329015,Nissan,NP300,2007,HATCHBACK,YT929S1P5MX1C8N4W,ZIJ 0425,1517,PETROL,5,2244.03,346869,False,True,True,False
ZW-PH-4013329015,BMW,3 Series,2017,SEDAN,DPRDS20KFDGK8D0WS,GRT 1692,1885,HYBRID,5,13545.65,219383,True,True,True,False
ZW-PH-8037444513,Nissan,X-Trail,2021,SEDAN,KG8CHY1909CRCZXC9,OSI 5211,1406,PETROL,5,7483.3,79980,False,True,True,False
ZW-PH-8037444513,Mazda,Axela,2017,SEDAN,ZB7E8W0MVB77MDVVZ,YEH 4451,1733,PETROL,5,9657.75,165122,True,True,True,False
ZW-PH-8097225608,Mitsubishi,Colt,2024,SUV,KNRRAJHZSZZHSE0SP,IFX 9124,3601,DIESEL,5,17549.13,32975,True,True,True,False
ZW-PH-7454309592,Mercedes-Benz,E-Class,2018,SEDAN,RXC1DNR7XLZVZTJ66,UDP 4100,2418,PETROL,5,19207.3,156659,True,True,True,False
ZW-PH-0785181933,Honda,HR-V,2012,SEDAN,S4SKR4XWCE71XNP1H,CSO 7906,1634,HYBRID,5,2407.91,209399,False,True,True,False
ZW-PH-6479870123,Mercedes-Benz,E-Class,2014,SEDAN,X6SJM70YEMY9HZGPT,WFJ 6661,1504,DIESEL,5,8327.82,265030,False,True,True,False
ZW-PH-0909672825,Volkswagen,Polo,2023,SEDAN,EJP2CVSEMZKRG4X7C,HJB 6537,1650,HYBRID,5,27072.26,74066,True,True,True,False
ZW-PH-9934999805,Nissan,Note,2009,SEDAN,N1ZYS7AN7R73H83YR,IDY 3239,1267,PETROL,5,3528.62,416771,False,True,True,False
ZW-PH-9934999805,Mitsubishi,Outlander,2012,SUV,J0CBFFBEL1GAFZB2D,MVZ 2817,2515,DIESEL,7,7977.81,288908,False,True,True,False
ZW-PH-7937066013,Suzuki,Alto,2009,SEDAN,7KENG4J6XUL1PC7GK,QGY 4473,1629,HYBRID,5,4071.02,289212,False,True,True,False
ZW-PH-5125058454,Toyota,Yaris,2008,SEDAN,78Z1XGKZH1X807RV3,GPF 6582,1300,PETROL,5,1763.2,392031,True,True,False,False
ZW-PH-1987947432,Nissan,NP300,2009,HATCHBACK,U8C7HUHPWSAZ3ZMXL,YLQ 5668,1585,DIESEL,5,7586.82,411825,True,True,True,True
ZW-PH-1987947432,Mercedes-Benz,Sprinter,2012,SEDAN,FTJXBCXXJABYYXNSU,EKP 5330,1587,PETROL,5,19496.98,289359,True,True,True,False
ZW-PH-3162309896,Mazda,Atenza,2012,SEDAN,KZ5ZWNX0HVV01AA79,FXE 3989,1383,DIESEL,5,6456.61,215765,True,True,True,False
ZW-PH-0856229392,Suzuki,Jimny,2016,SEDAN,EDYSXBMJ6W9HC8GAK,JUV 5901,2206,DIESEL,5,3642.24,245576,False,True,True,False
ZW-PH-5259374774,Mazda,Premacy,2014,SEDAN,TX271GAFMSR4XF6TP,LZX 1446,1911,HYBRID,5,1991.15,267643,False,True,True,False
ZW-PH-5649195262,Mazda,Axela,2012,SEDAN,V5CKNGR41269F872M,BYP 7808,2475,PETROL,5,7106.63,294553,True,True,True,False
ZW-PH-9850939577,Isuzu,Trooper,2013,TRUCK,KMDWAX54PSLFJ8TM4,KJV 3574,3724,PETROL,5,10046.33,301454,False,True,True,True
ZW-PH-2023713309,Isuzu,Trooper,2013,TRUCK,XFYFMD23VF30J496E,NAH 4738,3996,PETROL,2,3328.46,305798,True,True,True,False
ZW-PH-9746410383,Mazda,CX-5,2023,SEDAN,9L69HTYVXWX1RM87Y,CRY 2752,1739,PETROL,5,22957.23,74864,True,True,True,False
ZW-PH-4626770944,Mercedes-Benz,E-Class,2008,HATCHBACK,HPAU07BZK9L1XDY68,RTL 7126,1465,PETROL,5,12691.25,273732,False,True,False,False
ZW-PH-4919134244,Mercedes-Benz,Vito,2014,HATCHBACK,U7PJBSRLBND9DBGNR,AHA 5205,1795,DIESEL,5,8700.97,252226,True,True,True,False
ZW-PH-8134285656,Toyota,RunX,2019,SEDAN,4L2M4UFSCPXEEWY4N,FJC 8282,2023,DIESEL,5,12670.02,118118,True,True,True,False
ZW-PH-5644741572,Isuzu,D-Max,2013,TRUCK,W2WM2GJJGMXPGM5ZJ,FVR 0683,3129,DIESEL,5,3492.86,283473,False,True,True,True
ZW-PH-6788555192,Mazda,Premacy,2014,SEDAN,57GDHKXRZ52ET2PJT,RWR 1276,1205,PETROL,5,8294.71,203809,False,True,True,False
ZW-PH-0524228355,Mitsubishi,Pajero,2019,SUV,T5VPJMD239ZMXA05G,BHH 8236,3105,DIESEL,5,15303.68,111946,True,True,True,True
ZW-PH-6068941037,Honda,Accord,2017,SEDAN,F0YTH7UHT2BXMF8ZX,FAZ 9874,1657,PETROL,5,11294.39,148057,True,True,True,False
ZW-PH-8826136772,Isuzu,Trooper,2009,TRUCK,XZHFVDZ6LXDHJWUZ9,CDA 8647,2435,PETROL,2,3445.43,369505,False,True,True,True
ZW-PH-8536860678,Mercedes-Benz,C-Class,2015,HATCHBACK,E6BT2LED4PVW83L5K,HXP 7434,1784,DIESEL,5,6650.53,258481,True,True,True,False
ZW-PH-8536860678,Isuzu,Trooper,2016,TRUCK,X6J9SVFHWHRX8MUXT,NNR 3388,2679,DIESEL,5,9604.48,200441,False,True,True,False
ZW-PH-4532157250,Honda,HR-V,2018,SEDAN,GSF957BKCSHS8BRFW,ZZA 2527,1510,PETROL,5,3989.55,140500,False,True,True,False
ZW-PH-3997757190,Ford,Everest,2021,TRUCK,PH8UK9260VMT0W9ZU,EQJ 6571,3927,DIESEL,2,25012.51,79945,True,True,True,False
ZW-PH-3997757190,Nissan,Note,2009,SEDAN,LGVRDWEAB7V8GE249,GFX 7831,1681,PETROL,5,9017.16,332563,True,True,True,True
ZW-PH-8773202751,Toyota,Corolla,2015,SEDAN,SHVAT6C6NXUW79BLD,QAN 7493,1660,DIESEL,5,15899.63,185189,False,True,True,False
ZW-PH-8773202751,Ford,Fiesta,2014,TRUCK,STMRM776BNKAERBYE,QCD 9207,4953,DIESEL,5,4368.52,211997,False,True,True,False
ZW-PH-1469059091,Honda,Accord,2019,SEDAN,393DZJ7T5HBFF3UGG,WGU 9922,1641,PETROL,5,2834.3,149627,True,True,True,False
ZW-PH-9503747353,Honda,Accord,2019,SEDAN,FM5FFK6N81ZTHCWKM,DLJ 3427,1264,PETROL,5,11637.38,131474,False,True,True,False
ZW-PH-9503747353,Mitsubishi,Pajero,2010,SUV,CLRA39MFE0FBWR9EK,LLJ 8194,3555,DIESEL,5,4268.21,294084,False,True,True,False
ZW-PH-3402250921,Toyota,Prado,2011,SEDAN,NM6VN7D11ZKGAMZJ4,TNM 9041,2015,DIESEL,5,9725.7,237515,False,True,True,False
ZW-PH-9906992591,Toyota,Yaris,2013,SEDAN,2RV2SE17XYB2LNFSP,ZQY 4364,1893,PETROL,5,10113.84,310191,True,True,True,False
ZW-PH-3758056409,Volkswagen,Passat,2012,HATCHBACK,7WND8WH6FKSYYXFMH,TCN 5446,2082,PETROL,5,10169.7,318861,True,True,True,False
ZW-PH-6333104285,Toyota,Corolla,2017,HATCHBACK,NHXCLP3D8FV9KYGTU,OML 3807,2454,DIESEL,5,16157.94,190422,True,True,True,False
ZW-PH-6333104285,Toyota,Prado,2015,HATCHBACK,DJ4WVS0S9DPVEMFL7,LVX 7946,2273,PETROL,5,4821.63,270759,False,True,True,False
ZW-PH-9496829903,Toyota,Prado,2015,HATCHBACK,ADUMJRACAAEE0FP45,NDQ 6370,1305,PETROL,5,17304.81,167155,False,True,True,True
ZW-PH-7980832460,Toyota,Wish,2007,HATCHBACK,C4DXC389HFEFDN277,SCU 9454,1378,HYBRID,5,2677.21,452532,True,True,True,False
ZW-PH-7980832460,Mercedes-Benz,Vito,2015,SEDAN,F04Y374JULSM4L9FE,HVK 3979,2192,PETROL,5,14791.57,166830,True,True,True,False
ZW-PH-9624494538,Honda,Civic,2010,HATCHBACK,3EH2PR13KUFTTA7XB,DRF 0002,2148,PETROL,5,2599.56,323323,False,True,True,False
ZW-PH-9985526432,Isuzu,Trooper,2010,TRUCK,C9B3T9K9LJ4LTJLPS,QYS 8936,4109,PETROL,5,9342.08,358307,False,True,True,False
ZW-PH-9985526432,Nissan,Patrol,2016,SUV,FSN8J1XE522KRLXYG,FVN 8717,3811,DIESEL,5,15828.91,190090,False,True,True,False
ZW-PH-1287163037,Toyota,Land Cruiser,2016,SUV,0HNTFE2W1PNSNWXY9,OOZ 2939,4102,DIESEL,7,19525.69,241717,False,True,True,False
ZW-PH-7470664930,Mitsubishi,Colt,2001,SUV,NFCJKVDU57MWCGW6N,CIC 9371,4311,PETROL,7,2344.95,406984,False,True,True,False
ZW-PH-7470664930,Mercedes-Benz,Sprinter,2018,SEDAN,TEANPKRPGAXF5753P,VBQ 8201,1959,PETROL,5,28761.46,125747,True,True,True,False
ZW-PH-7175136082,Suzuki,Swift,2007,SEDAN,H3Z316KG1415CT0EU,CCW 9481,1668,PETROL,5,3993.69,471864,True,True,True,False
ZW-PH-1596420015,Mercedes-Benz,GLE,2020,SEDAN,SV8UG3MZAYKEAKWPD,DNP 8138,1704,PETROL,5,16947.83,146599,True,True,True,False
ZW-PH-8644811798,Volkswagen,Tiguan,2014,HATCHBACK,371A1XEMMGMY5NZR4,JDT 5825,1264,PETROL,5,6219.67,248705,True,True,True,False
ZW-PH-8644811798,Suzuki,Vitara,2007,HATCHBACK,KVFMMWLV6SSCLZXMZ,BJM 6311,2202,PETROL,5,1485.66,292944,False,True,False,False
ZW-PH-8590618880,Mitsubishi,Pajero,2021,SUV,FYX7PU0SKYSLLPREZ,FLH 6210,3541,PETROL,5,21977.56,102643,False,True,True,False
ZW-PH-6717238925,Mercedes-Benz,C-Class,2019,SEDAN,2CL10L8F1EUNZ201P,NOH 0252,1463,PETROL,5,25234.69,167248,True,True,True,False
ZW-PH-8166384662,Suzuki,Jimny,2017,SEDAN,ZTZ8L5ASKMZ6RT7D6,XVT 2690,1382,PETROL,5,8395.41,197936,True,True,True,False
ZW-PH-8850161712,Mercedes-Benz,C-Class,2014,SEDAN,B45A0NR7VZA70R8PX,ITM 5384,1951,DIESEL,5,9454.15,222568,True,True,True,False
ZW-PH-8850161712,Mercedes-Benz,GLE,2019,HATCHBACK,K4L2NA6VZATDXUVW0,GEH 6814,1721,DIESEL,5,10950.69,161152,True,True,True,False
ZW-PH-4909710221,Suzuki,Vitara,2014,SEDAN,MPAT8RR41EEWCEUHT,WDK 0894,1651,PETROL,5,4305.51,287774,True,True,True,False
ZW-PH-6496696399,BMW,X5,2012,HATCHBACK,ZRG3MJTYC55L1P2DH,LHG 2197,1359,PETROL,5,10642.76,254975,True,True,True,False
ZW-PH-6496696399,Nissan,Hardbody,2009,SEDAN,0LW48RRYK0LJEU69H,ZFD 7024,1597,PETROL,5,4278.74,368551,False,True,True,False
ZW-PH-7552236406,Suzuki,Vitara,2007,SEDAN,0PZX7ZHTJSTHCMH34,BUI 2730,2312,PETROL,5,2217.85,438258,False,True,False,False
ZW-PH-7552236406,Suzuki,Vitara,2011,HATCHBACK,53X56H9RZRLD56ZJW,QLV 3797,2139,PETROL,5,1039.78,260259,True,True,True,False
ZW-PH-7552236406,Nissan,March,2014,HATCHBACK,E8BCAPKRM4TJTT0YS,TET 1817,1763,PETROL,5,2200.19,189009,True,True,True,False
ZW-PH-2772981162,Isuzu,MU-X,2019,TRUCK,X7W6FH03DUY52782Z,HPL 9846,4936,PETROL,5,17378.32,161093,True,True,True,True
ZW-PH-6344741602,BMW,1 Series,2019,SEDAN,JD1BRP49HM4KNRJ91,YYI 6989,2275,PETROL,5,23940.6,137790,False,True,True,False
ZW-PH-6344741602,BMW,X1,2006,SEDAN,RTF88GKL1909D177X,UFY 5317,1947,HYBRID,5,5716.69,484208,True,True,True,True
ZW-PH-5419697432,Isuzu,MU-X,2011,TRUCK,0GJTJCKXLKXET65N4,BUW 2942,2606,DIESEL,2,11915.85,352457,False,True,True,True
ZW-PH-1062137128,Volkswagen,Passat,2019,SEDAN,SMA7ZPCEZY0KNC609,MMG 7030,1488,DIESEL,5,15580.1,173378,False,True,True,False
ZW-PH-6273452312,Mitsubishi,Outlander,2013,SUV,ZRD6SFVVGZ52T0SY1,RUL 8925,4383,DIESEL,5,6710.25,284916,True,True,True,False
ZW-PH-4282841775,Toyota,Corolla,2008,SEDAN,B98P84LWY5PY4LYTJ,HFS 0646,1529,PETROL,5,8383.06,351083,False,True,True,False
ZW-PH-3567190019,Honda,Fit,2010,SEDAN,SZNLAE1PG7DEF9NJE,MJZ 7572,2024,PETROL,5,2503.11,372232,False,True,True,False
ZW-PH-5570028939,Isuzu,KB,2016,TRUCK,YTRGV38B8CEL20ZRD,LCU 1941,4742,PETROL,5,9759.24,201669,True,True,True,False
ZW-PH-3950820680,Mitsubishi,L200,2015,SUV,U3ET8G5RU7NFELT4W,FFL 4557,4870,DIESEL,5,12377.22,207357,True,True,True,True
ZW-PH-2507455361,Mitsubishi,L200,2014,SUV,KW4XMUS9FYRU6RR1R,JNY 5012,4987,DIESEL,7,12959.73,204093,False,True,True,False
ZW-PH-8149857735,BMW,X5,2016,SEDAN,ZKZFJNBHE9ZTNDU2D,GLY 5523,1338,PETROL,5,17359.79,247111,False,True,True,False
ZW-PH-6580123226,BMW,X5,2006,SEDAN,E704T0M23AXWTRZ0F,OMD 3630,1946,PETROL,5,6097.08,453334,False,True,True,False
ZW-PH-0398489519,Isuzu,MU-X,2016,TRUCK,NKVDCT7WREF0L61C9,IPJ 2272,3494,DIESEL,2,18079.73,201982,True,True,True,False
ZW-PH-2768206576,Mazda,Demio,2002,SEDAN,HVYZDR6C26T5BP56Z,SSG 5032,1322,DIESEL,5,1577.14,547684,True,True,True,False
ZW-PH-2768206576,Mercedes-Benz,GLE,2014,HATCHBACK,XKCX2VY7PWGBVLWWB,JLE 1075,2398,PETROL,5,23538.5,208992,True,True,True,False
ZW-PH-2351823097,Suzuki,Alto,2015,HATCHBACK,GAN3HUCLU63W26PT8,DWH 7514,1627,PETROL,5,1367.46,237024,False,True,True,True
ZW-PH-5301069960,Suzuki,Vitara,2014,SEDAN,1UPJ7C9JA5U8R9SXG,ECC 6075,1296,PETROL,5,2070.96,243128,True,True,True,False
ZW-PH-1087276535,Toyota,Wish,2011,SEDAN,NDAD46Z07BPNN444A,YBJ 9592,2017,PETROL,5,8536.88,316779,False,True,True,False
ZW-PH-3782003990,Toyota,Yaris,2019,SEDAN,54BG5C32173AEEP2T,OZP 9324,2192,PETROL,5,21028.34,168383,False,True,True,False
ZW-PH-5734900201,Isuzu,KB,2011,TRUCK,83A6UDJ9JU2ALHG6T,TDM 1657,2812,DIESEL,2,9180.99,365157,False,True,True,False
ZW-PH-5734900201,Isuzu,KB,2018,TRUCK,61UL45BDLHUZ3LUVB,IOA 7953,4662,DIESEL,5,12297.08,175601,False,True,True,False
ZW-PH-7938491778,Mitsubishi,ASX,2015,SUV,JRB5PM47NUM5LL2XP,UCH 4055,3555,DIESEL,5,10955.14,230120,True,True,True,False
ZW-PH-6720739064,Volkswagen,Tiguan,2013,SEDAN,9TLYUNL6VHHM8Y1GY,UDX 5813,1293,PETROL,5,11050.11,233347,False,True,True,False
ZW-PH-6056012760,Mazda,Demio,2016,SEDAN,261SNX9PFFUM897KG,EHZ 5111,2109,DIESEL,5,6586.85,149122,False,True,True,False
ZW-PH-0239999233,Mercedes-Benz,ML-Class,2016,SEDAN,V5NTJKEETWJLW8ED7,MOK 7334,2115,PETROL,5,5585.08,192096,True,True,True,False
ZW-PH-7867111096,BMW,5 Series,2012,SEDAN,MFDMXK8DZKC6HS6UA,JPD 3226,1378,PETROL,5,4036.72,310936,True,True,True,False
ZW-PH-4073367558,Mazda,CX-5,2006,SEDAN,L2U5NB5FP04UUHU6N,HII 3286,2197,PETROL,5,1339.56,338160,False,True,True,False
ZW-PH-1572426977,Ford,Fiesta,2019,TRUCK,0EXBCTHBFYN0E9GGT,KGA 0062,2495,PETROL,2,16959.15,154398,True,True,True,False
ZW-PH-8254406256,Mitsubishi,ASX,2005,SUV,3MG8SGLNGY3WKPX40,DKV 9229,3980,DIESEL,5,7335.35,430991,False,True,True,False
ZW-PH-8254406256,Mitsubishi,Colt,2015,SUV,NLBY2076FBPUYYFUG,XKC 0602,2445,DIESEL,7,7640.56,180275,False,True,True,True
ZW-PH-1834220595,Mitsubishi,Colt,2009,SUV,PLF43ZXLRURPMRG1C,BMW 3564,4747,DIESEL,7,6730.64,358895,False,True,True,True
ZW-PH-1834220595,Honda,HR-V,2006,SEDAN,21RVUXX69VEE5HXGM,GBH 5836,2256,PETROL,5,6245.41,461459,True,True,True,False
ZW-PH-3571335981,Mercedes-Benz,E-Class,2023,SEDAN,1S8SL6AB7BHAFDEW8,UYS 6871,1786,PETROL,5,33605.5,64106,True,True,True,True
ZW-PH-5877304424,Nissan,Juke,2015,SEDAN,GSMBL4NURV328ZY2D,KFD 7712,1731,PETROL,5,4350.73,181931,True,True,True,False
ZW-PH-0563538312,Ford,Focus,2009,TRUCK,5MCSF0DKMR9VSYFN6,RFS 8510,4010,PETROL,2,9936.42,348954,True,True,True,False
ZW-PH-8765974189,Mercedes-Benz,Sprinter,2011,HATCHBACK,VVZ899E6VV3ZKDHYW,PJM 5453,2453,PETROL,5,12798.41,356801,False,True,True,False
ZW-PH-8765974189,Suzuki,Swift,2004,SEDAN,8T37NU1HCFC0ZM4C0,FEM 1754,1869,PETROL,5,2150.07,517555,True,True,True,False
ZW-PH-4026495361,Volkswagen,Golf,2018,HATCHBACK,VB7VWLNRGLUG6GJKM,MRY 6974,1794,PETROL,5,14339.39,143976,False,True,True,False
ZW-PH-9493009412,Honda,Accord,2016,HATCHBACK,DE81KMBMY0ZSKFWPH,BHQ 8776,1484,PETROL,5,8491.4,152916,True,True,True,False
ZW-PH-6447641554,Nissan,Navara,2009,TRUCK,8R0KNHV015UMXR39T,HFY 3810,3711,DIESEL,5,5076.74,318776,False,True,True,False
ZW-PH-3745474972,Mitsubishi,Pajero,2014,SUV,WARJ5D4LCSYHRE46H,UNP 4168,3656,DIESEL,7,8068.78,254639,True,True,True,False
ZW-PH-5099588743,Toyota,Yaris,2013,SEDAN,G5MN7PRJ6G6CDDPHK,FCD 6320,2180,PETROL,5,11966.63,270114,False,True,True,False
ZW-PH-8254626756,Isuzu,KB,2008,TRUCK,YG4NTGL60L1KFTYH6,FZY 6108,3907,DIESEL,5,8412.45,329730,False,True,True,True
ZW-PH-4973107330,Isuzu,MU-X,2017,TRUCK,AZK8KE781CKFJSG6R,LIG 6316,4908,DIESEL,2,17930.18,174575,True,True,True,False
ZW-PH-8775098459,Nissan,Juke,2010,SEDAN,F71G58JLKNPY2XRYN,RDY 6299,1751,PETROL,5,1321.3,387654,False,True,True,False
ZW-PH-9007018646,Honda,Civic,2015,SEDAN,F8YSWNKWX5MLSPEPB,UTY 5104,1382,DIESEL,5,3907.01,205576,False,True,True,False
ZW-PH-8775311465,Isuzu,MU-X,2024,TRUCK,NF6FM8UBVM6PAB02K,KHC 0936,4115,DIESEL,2,14295.47,36276,True,True,True,False
ZW-PH-9968954620,Volkswagen,Polo,2006,SEDAN,BFG3J1EHUZC08X9W2,VSV 6169,1484,PETROL,5,4884.52,378106,False,True,True,False
ZW-PH-5042613413,Mazda,Atenza,2019,SEDAN,24LLZ3NSG6FAULZ4X,GAO 2178,2158,PETROL,5,4364.3,150314,True,True,True,False
ZW-PH-5090470547,Mitsubishi,Pajero,2015,SUV,D90XWJGX991K8BKH5,HXF 1207,3109,DIESEL,5,10693.58,175048,False,True,True,True
ZW-PH-5090470547,Volkswagen,Polo,2019,SEDAN,ZPF4UUL58YRETGA6L,QTC 7032,1212,DIESEL,5,12808.09,124073,True,True,True,False
ZW-PH-6639593034,Isuzu,D-Max,2004,TRUCK,3P2KR4KS4F7B6264Y,UFJ 8240,3117,PETROL,5,6012.46,452527,False,True,False,False
ZW-PH-0829126485,Ford,Focus,2016,TRUCK,FWDJBDEHR3P3PEDVF,DTJ 8653,4553,DIESEL,2,15039.82,167215,False,True,True,False
ZW-PH-0829126485,Ford,Everest,2015,TRUCK,Y20S99VGU8H004FX5,YFM 8730,4283,DIESEL,2,14263.53,260891,True,True,True,True
ZW-PH-1972986612,Isuzu,KB,2003,TRUCK,0XJMCDNYGBA25CA0D,HYT 7954,4722,DIESEL,5,8029.36,547786,False,False,True,False
