policy_number,policyholder_id,vehicle_vin,policy_type,coverage_level,currency,status,premium_amount,coverage_amount,deductible,start_date,end_date,has_roadside_assistance,has_rental_coverage,has_glass_coverage
POL-850945102991,ZW-PH-8037444513,KG8CHY1909CRCZXC9,COLLISION,PREMIUM,ZWG,ACTIVE,360.10,8979.96,520.84,2025-10-09,2026-10-09,True,True,False
POL-471259844792,ZW-PH-8037444513,ZB7E8W0MVB77MDVVZ,COLLISION,BASIC,USD,CANCELLED,390.38,11589.30,1054.63,2024-11-15,2025-11-15,False,False,True
POL-553387473400,ZW-PH-8097225608,KNRRAJHZSZZHSE0SP,COMPREHENSIVE,BASIC,USD,CANCELLED,643.72,26323.70,2416.52,2024-10-06,2025-10-06,False,False,False
POL-621585220654,ZW-PH-7454309592,RXC1DNR7XLZVZTJ66,LIABILITY,PREMIUM,USD,ACTIVE,860.77,19207.30,887.38,2026-03-10,2027-03-10,False,True,True
POL-433525103288,ZW-PH-0785181933,S4SKR4XWCE71XNP1H,COLLISION,STANDARD,USD,CANCELLED,204.62,2889.49,188.97,2024-10-30,2025-10-30,False,False,True
POL-516333191641,ZW-PH-6479870123,X6SJM70YEMY9HZGPT,COMPREHENSIVE,STANDARD,USD,CANCELLED,336.61,12491.73,830.70,2024-08-08,2025-08-08,False,False,False
POL-138907805174,ZW-PH-0909672825,EJP2CVSEMZKRG4X7C,THIRD_PARTY,PREMIUM,USD,EXPIRED,2328.27,27072.26,1575.61,2025-02-06,2026-02-06,True,True,True
POL-244740051807,ZW-PH-9934999805,N1ZYS7AN7R73H83YR,THIRD_PARTY,STANDARD,USD,ACTIVE,196.94,3528.62,250.53,2025-09-05,2026-09-05,False,True,False
POL-725133196471,ZW-PH-9934999805,J0CBFFBEL1GAFZB2D,COMPREHENSIVE,STANDARD,ZWG,EXPIRED,518.36,11966.72,904.68,2024-11-19,2025-11-19,False,True,False
POL-039671595304,ZW-PH-7937066013,7KENG4J6XUL1PC7GK,COMPREHENSIVE,STANDARD,USD,ACTIVE,352.82,6106.53,424.40,2025-06-08,2026-06-08,False,False,False
POL-807237627149,ZW-PH-5125058454,78Z1XGKZH1X807RV3,COMPREHENSIVE,BASIC,USD,EXPIRED,75.78,2644.80,249.14,2024-06-28,2025-06-28,False,False,False
POL-023194080714,ZW-PH-1987947432,U8C7HUHPWSAZ3ZMXL,THIRD_PARTY,BASIC,ZWG,EXPIRED,311.08,7586.82,641.09,2025-03-11,2026-03-11,False,False,False
POL-412225320756,ZW-PH-1987947432,FTJXBCXXJABYYXNSU,COMPREHENSIVE,BASIC,USD,EXPIRED,780.63,29245.47,2523.88,2024-11-23,2025-11-23,False,False,False
POL-165011457581,ZW-PH-3162309896,KZ5ZWNX0HVV01AA79,COMPREHENSIVE,BASIC,USD,EXPIRED,352.99,9684.92,910.38,2024-11-19,2025-11-19,False,False,False
POL-429680891555,ZW-PH-0856229392,EDYSXBMJ6W9HC8GAK,THIRD_PARTY,STANDARD,USD,CANCELLED,241.71,3642.24,254.59,2025-12-18,2026-12-18,False,False,False
POL-285326270253,ZW-PH-5259374774,TX271GAFMSR4XF6TP,COMPREHENSIVE,BASIC,USD,EXPIRED,56.96,2986.73,256.26,2024-08-23,2025-08-23,False,False,False
POL-052770697393,ZW-PH-5649195262,V5CKNGR41269F872M,COLLISION,BASIC,USD,EXPIRED,449.40,8527.96,794.81,2025-04-02,2026-04-02,False,False,False
POL-064008285546,ZW-PH-9850939577,KMDWAX54PSLFJ8TM4,COLLISION,STANDARD,ZWG,EXPIRED,383.60,12055.60,725.75,2024-09-24,2025-09-24,False,False,False
POL-325428477569,ZW-PH-2023713309,XFYFMD23VF30J496E,COLLISION,STANDARD,USD,EXPIRED,258.40,3994.15,255.23,2024-09-16,2025-09-16,False,False,False
POL-197247614226,ZW-PH-9746410383,9L69HTYVXWX1RM87Y,COMPREHENSIVE,PREMIUM,USD,ACTIVE,1814.78,34435.85,1983.50,2025-08-22,2026-08-22,True,True,True
POL-971877535858,ZW-PH-4626770944,HPAU07BZK9L1XDY68,COLLISION,PREMIUM,ZWG,CANCELLED,888.44,15229.50,857.42,2025-01-13,2026-01-13,True,True,True
POL-058589069555,ZW-PH-4919134244,U7PJBSRLBND9DBGNR,COMPREHENSIVE,PREMIUM,ZWG,EXPIRED,784.38,13051.46,726.97,2024-08-28,2025-08-28,True,True,False
POL-824856542060,ZW-PH-8134285656,4L2M4UFSCPXEEWY4N,LIABILITY,BASIC,USD,EXPIRED,313.59,12670.02,1227.72,2024-06-05,2025-06-05,False,False,False
POL-514144700388,ZW-PH-5644741572,W2WM2GJJGMXPGM5ZJ,THIRD_PARTY,BASIC,USD,ACTIVE,224.15,3492.86,291.65,2026-03-25,2027-03-25,True,True,False
POL-222365239338,ZW-PH-6788555192,57GDHKXRZ52ET2PJT,COMPREHENSIVE,STANDARD,USD,EXPIRED,511.03,12442.07,805.00,2025-02-04,2026-02-04,True,True,False
POL-958875161692,ZW-PH-0524228355,T5VPJMD239ZMXA05G,COMPREHENSIVE,STANDARD,USD,ACTIVE,2091.27,22955.52,1528.84,2025-06-26,2026-06-26,False,False,False
POL-510020017044,ZW-PH-6068941037,F0YTH7UHT2BXMF8ZX,COMPREHENSIVE,STANDARD,ZWG,EXPIRED,406.30,16941.59,1058.85,2025-03-06,2026-03-06,False,True,False
POL-464890734403,ZW-PH-8826136772,XZHFVDZ6LXDHJWUZ9,THIRD_PARTY,BASIC,USD,EXPIRED,151.20,3445.43,294.58,2024-08-03,2025-08-03,False,False,False
POL-060123244099,ZW-PH-8536860678,E6BT2LED4PVW83L5K,THIRD_PARTY,STANDARD,USD,CANCELLED,196.94,6650.53,427.63,2024-07-02,2025-07-02,False,True,True
POL-630875916022,ZW-PH-8536860678,X6J9SVFHWHRX8MUXT,COMPREHENSIVE,STANDARD,ZWG,ACTIVE,510.03,14406.72,1090.59,2025-06-16,2026-06-16,True,False,False
POL-797242774161,ZW-PH-4532157250,GSF957BKCSHS8BRFW,THIRD_PARTY,BASIC,USD,EXPIRED,337.32,3989.55,353.47,2024-12-22,2025-12-22,False,False,False
POL-068240922749,ZW-PH-3997757190,PH8UK9260VMT0W9ZU,THIRD_PARTY,BASIC,USD,ACTIVE,785.59,25012.51,2191.10,2025-06-14,2026-06-14,True,False,False
POL-496319141938,ZW-PH-3997757190,LGVRDWEAB7V8GE249,THIRD_PARTY,STANDARD,USD,EXPIRED,600.30,9017.16,628.50,2024-11-13,2025-11-13,False,False,False
POL-312479359940,ZW-PH-8773202751,SHVAT6C6NXUW79BLD,COLLISION,STANDARD,USD,ACTIVE,917.05,19079.56,1446.23,2025-06-21,2026-06-21,False,False,False
POL-908807268259,ZW-PH-8773202751,STMRM776BNKAERBYE,COLLISION,STANDARD,USD,ACTIVE,238.73,5242.22,411.51,2025-11-08,2026-11-08,True,False,False
POL-477219884410,ZW-PH-1469059091,393DZJ7T5HBFF3UGG,THIRD_PARTY,STANDARD,USD,ACTIVE,175.32,2834.30,209.17,2025-08-25,2026-08-25,False,True,False
POL-937833105739,ZW-PH-9503747353,FM5FFK6N81ZTHCWKM,COLLISION,STANDARD,USD,EXPIRED,587.28,13964.86,997.09,2024-08-12,2025-08-12,True,False,False
POL-041733219228,ZW-PH-9503747353,CLRA39MFE0FBWR9EK,THIRD_PARTY,PREMIUM,USD,ACTIVE,534.77,4268.21,182.25,2026-03-09,2027-03-09,True,False,False
POL-140749295532,ZW-PH-3402250921,NM6VN7D11ZKGAMZJ4,COMPREHENSIVE,BASIC,ZWG,CANCELLED,372.00,14588.55,1289.63,2025-03-10,2026-03-10,False,True,False
POL-153340278027,ZW-PH-9906992591,2RV2SE17XYB2LNFSP,COMPREHENSIVE,BASIC,USD,ACTIVE,376.11,15170.76,1404.81,2026-01-26,2027-01-26,False,False,False
POL-752294502580,ZW-PH-3758056409,7WND8WH6FKSYYXFMH,THIRD_PARTY,BASIC,USD,CANCELLED,506.11,10169.70,815.61,2025-02-09,2026-02-09,False,True,False
POL-164981396231,ZW-PH-6333104285,NHXCLP3D8FV9KYGTU,COMPREHENSIVE,STANDARD,ZWG,ACTIVE,1051.06,24236.91,1919.56,2025-07-14,2026-07-14,False,True,True
POL-624813159664,ZW-PH-6333104285,DJ4WVS0S9DPVEMFL7,COMPREHENSIVE,BASIC,ZWG,CANCELLED,163.04,7232.45,689.98,2025-04-17,2026-04-17,False,False,True
POL-891229526945,ZW-PH-9496829903,ADUMJRACAAEE0FP45,COMPREHENSIVE,PREMIUM,USD,EXPIRED,1977.57,25957.22,1251.14,2024-08-05,2025-08-05,True,True,False
POL-484494026529,ZW-PH-7980832460,C4DXC389HFEFDN277,THIRD_PARTY,STANDARD,USD,ACTIVE,90.87,2677.21,198.38,2025-10-04,2026-10-04,False,True,True
POL-029905640119,ZW-PH-7980832460,F04Y374JULSM4L9FE,THIRD_PARTY,BASIC,USD,CANCELLED,353.13,14791.57,1282.43,2024-12-28,2025-12-28,True,False,False
POL-362639531612,ZW-PH-9624494538,3EH2PR13KUFTTA7XB,COMPREHENSIVE,STANDARD,ZWG,EXPIRED,163.84,3899.34,246.44,2024-11-24,2025-11-24,False,False,False
POL-407979963833,ZW-PH-9985526432,C9B3T9K9LJ4LTJLPS,THIRD_PARTY,STANDARD,USD,EXPIRED,751.72,9342.08,746.43,2025-02-06,2026-02-06,False,False,True
POL-358115291034,ZW-PH-9985526432,FSN8J1XE522KRLXYG,THIRD_PARTY,STANDARD,ZWG,EXPIRED,905.61,15828.91,1071.62,2024-07-12,2025-07-12,False,True,False
POL-751145056967,ZW-PH-1287163037,0HNTFE2W1PNSNWXY9,COMPREHENSIVE,BASIC,USD,ACTIVE,473.94,29288.54,2580.32,2026-04-18,2027-04-18,False,False,False
POL-008019828339,ZW-PH-7470664930,NFCJKVDU57MWCGW6N,COLLISION,STANDARD,USD,ACTIVE,152.81,2813.94,177.56,2025-04-23,2026-04-23,False,False,True
POL-322892086574,ZW-PH-7470664930,TEANPKRPGAXF5753P,LIABILITY,STANDARD,USD,CANCELLED,1775.74,28761.46,2085.21,2024-11-16,2025-11-16,False,True,False
POL-873136806079,ZW-PH-7175136082,H3Z316KG1415CT0EU,COLLISION,BASIC,ZWG,EXPIRED,240.05,4792.43,446.65,2024-06-29,2025-06-29,True,False,True
POL-320553952673,ZW-PH-1596420015,SV8UG3MZAYKEAKWPD,THIRD_PARTY,PREMIUM,USD,EXPIRED,1994.80,16947.83,774.52,2024-10-31,2025-10-31,True,True,True
POL-098234565728,ZW-PH-8644811798,371A1XEMMGMY5NZR4,COLLISION,STANDARD,ZWG,CANCELLED,553.03,7463.60,536.63,2025-09-30,2026-09-30,True,False,False
POL-689582971573,ZW-PH-8644811798,KVFMMWLV6SSCLZXMZ,LIABILITY,PREMIUM,ZWG,EXPIRED,177.98,1485.66,64.33,2025-03-31,2026-03-31,True,False,True
POL-173676208412,ZW-PH-8590618880,FYX7PU0SKYSLLPREZ,THIRD_PARTY,STANDARD,USD,CANCELLED,926.11,21977.56,1408.76,2024-09-26,2025-09-26,True,True,True
POL-282615251604,ZW-PH-6717238925,2CL10L8F1EUNZ201P,COLLISION,STANDARD,USD,EXPIRED,1794.48,30281.63,2325.63,2024-11-23,2025-11-23,False,False,False
POL-281036030446,ZW-PH-8166384662,ZTZ8L5ASKMZ6RT7D6,THIRD_PARTY,BASIC,USD,EXPIRED,241.04,8395.41,805.96,2024-07-19,2025-07-19,False,False,False
POL-325027005154,ZW-PH-8850161712,B45A0NR7VZA70R8PX,THIRD_PARTY,PREMIUM,USD,CANCELLED,676.12,9454.15,402.75,2024-07-09,2025-07-09,True,True,True
POL-111762766042,ZW-PH-8850161712,K4L2NA6VZATDXUVW0,THIRD_PARTY,STANDARD,USD,EXPIRED,304.90,10950.69,659.23,2024-06-12,2025-06-12,False,False,False
POL-320818852397,ZW-PH-4909710221,MPAT8RR41EEWCEUHT,LIABILITY,BASIC,ZWG,ACTIVE,269.39,4305.51,428.83,2025-10-15,2026-10-15,False,False,True
POL-117702580102,ZW-PH-6496696399,ZRG3MJTYC55L1P2DH,THIRD_PARTY,BASIC,USD,CANCELLED,456.10,10642.76,1005.74,2024-08-16,2025-08-16,False,False,False
POL-255036556335,ZW-PH-6496696399,0LW48RRYK0LJEU69H,COLLISION,STANDARD,USD,CANCELLED,312.62,5134.49,352.23,2025-01-30,2026-01-30,True,False,True
POL-058727666713,ZW-PH-7552236406,0PZX7ZHTJSTHCMH34,COLLISION,BASIC,USD,EXPIRED,202.81,2661.42,262.15,2025-01-25,2026-01-25,False,True,False
POL-704766750305,ZW-PH-7552236406,53X56H9RZRLD56ZJW,COMPREHENSIVE,STANDARD,ZWG,EXPIRED,63.88,1559.67,113.08,2025-01-29,2026-01-29,True,True,False
POL-570333059909,ZW-PH-7552236406,E8BCAPKRM4TJTT0YS,LIABILITY,STANDARD,USD,EXPIRED,171.00,2200.19,164.35,2025-02-05,2026-02-05,False,False,False
POL-193283275277,ZW-PH-2772981162,X7W6FH03DUY52782Z,COMPREHENSIVE,BASIC,ZWG,EXPIRED,840.14,26067.48,2200.10,2025-04-03,2026-04-03,False,False,False
POL-456361506397,ZW-PH-6344741602,JD1BRP49HM4KNRJ91,COMPREHENSIVE,STANDARD,USD,CANCELLED,1503.49,35910.90,2840.55,2024-06-17,2025-06-17,False,False,False
POL-037115440569,ZW-PH-6344741602,RTF88GKL1909D177X,COMPREHENSIVE,STANDARD,USD,ACTIVE,477.26,8575.04,654.28,2025-09-27,2026-09-27,True,False,False
POL-913569794055,ZW-PH-5419697432,0GJTJCKXLKXET65N4,COLLISION,BASIC,USD,ACTIVE,592.87,14299.02,1152.50,2025-12-09,2026-12-09,False,False,False
POL-813416662658,ZW-PH-1062137128,SMA7ZPCEZY0KNC609,COMPREHENSIVE,STANDARD,USD,EXPIRED,508.61,23370.15,1832.22,2024-08-13,2025-08-13,False,False,False
POL-540894473580,ZW-PH-6273452312,ZRD6SFVVGZ52T0SY1,LIABILITY,STANDARD,ZWG,EXPIRED,307.42,6710.25,460.99,2025-03-30,2026-03-30,False,True,False
POL-193507795642,ZW-PH-4282841775,B98P84LWY5PY4LYTJ,THIRD_PARTY,BASIC,USD,ACTIVE,692.06,8383.06,771.24,2025-10-15,2026-10-15,False,False,False
POL-113929669340,ZW-PH-3567190019,SZNLAE1PG7DEF9NJE,COLLISION,STANDARD,ZWG,ACTIVE,113.72,3003.73,183.83,2026-03-30,2027-03-30,True,False,True
POL-991862832247,ZW-PH-5570028939,YTRGV38B8CEL20ZRD,COMPREHENSIVE,STANDARD,USD,EXPIRED,702.98,14638.86,904.68,2024-05-19,2025-05-19,True,False,False
POL-228327906464,ZW-PH-3950820680,U3ET8G5RU7NFELT4W,THIRD_PARTY,STANDARD,USD,EXPIRED,1494.35,12377.22,915.91,2024-11-21,2025-11-21,False,False,False
POL-419090788190,ZW-PH-2507455361,KW4XMUS9FYRU6RR1R,COMPREHENSIVE,BASIC,USD,ACTIVE,556.76,19439.60,1743.73,2026-03-09,2027-03-09,False,False,True
POL-372456482047,ZW-PH-8149857735,ZKZFJNBHE9ZTNDU2D,COMPREHENSIVE,BASIC,USD,CANCELLED,1081.46,26039.69,2236.81,2025-11-17,2026-11-17,True,False,False
POL-179512309785,ZW-PH-6580123226,E704T0M23AXWTRZ0F,LIABILITY,STANDARD,USD,EXPIRED,464.67,6097.08,395.09,2024-09-14,2025-09-14,False,False,True
POL-130407252275,ZW-PH-0398489519,NKVDCT7WREF0L61C9,COMPREHENSIVE,STANDARD,USD,ACTIVE,643.22,27119.60,1697.69,2025-10-24,2026-10-24,True,True,False
POL-943322301083,ZW-PH-2768206576,HVYZDR6C26T5BP56Z,COMPREHENSIVE,BASIC,USD,CANCELLED,97.55,2365.71,197.06,2025-01-01,2026-01-01,False,False,False
POL-060868024512,ZW-PH-2768206576,XKCX2VY7PWGBVLWWB,COMPREHENSIVE,BASIC,USD,ACTIVE,832.23,35307.75,2927.01,2025-09-18,2026-09-18,False,False,False
POL-770148995463,ZW-PH-2351823097,GAN3HUCLU63W26PT8,THIRD_PARTY,STANDARD,USD,ACTIVE,70.32,1367.46,99.41,2025-10-05,2026-10-05,True,True,False
POL-888437916304,ZW-PH-5301069960,1UPJ7C9JA5U8R9SXG,COMPREHENSIVE,STANDARD,USD,EXPIRED,173.93,3106.44,247.89,2025-04-06,2026-04-06,False,True,False
POL-900485701722,ZW-PH-1087276535,NDAD46Z07BPNN444A,LIABILITY,BASIC,USD,EXPIRED,397.08,8536.88,716.24,2025-02-09,2026-02-09,False,False,False
POL-834036198707,ZW-PH-3782003990,54BG5C32173AEEP2T,COLLISION,STANDARD,ZWG,EXPIRED,2207.67,25234.01,1564.51,2024-12-27,2025-12-27,False,False,False
POL-952316275302,ZW-PH-5734900201,83A6UDJ9JU2ALHG6T,COLLISION,PREMIUM,ZWG,ACTIVE,657.88,11017.19,583.91,2026-03-15,2027-03-15,True,True,False
POL-210200983916,ZW-PH-5734900201,61UL45BDLHUZ3LUVB,COMPREHENSIVE,BASIC,USD,ACTIVE,755.35,18445.62,1647.19,2025-12-23,2026-12-23,False,False,False
POL-448198264243,ZW-PH-7938491778,JRB5PM47NUM5LL2XP,COLLISION,BASIC,USD,EXPIRED,452.80,13146.17,1202.87,2024-12-23,2025-12-23,False,False,False
POL-446689557842,ZW-PH-6720739064,9TLYUNL6VHHM8Y1GY,COMPREHENSIVE,STANDARD,ZWG,EXPIRED,421.09,16575.17,1132.08,2024-10-05,2025-10-05,False,True,False
POL-116350562552,ZW-PH-6056012760,261SNX9PFFUM897KG,COMPREHENSIVE,STANDARD,USD,EXPIRED,500.39,9880.28,687.67,2025-01-26,2026-01-26,True,False,False
POL-816524292788,ZW-PH-0239999233,V5NTJKEETWJLW8ED7,THIRD_PARTY,STANDARD,USD,EXPIRED,333.14,5585.08,380.90,2024-10-26,2025-10-26,True,False,False
POL-573257271242,ZW-PH-7867111096,MFDMXK8DZKC6HS6UA,COMPREHENSIVE,BASIC,USD,EXPIRED,147.07,6055.08,515.29,2025-03-16,2026-03-16,False,False,False
POL-030725917234,ZW-PH-4073367558,L2U5NB5FP04UUHU6N,THIRD_PARTY,STANDARD,USD,EXPIRED,195.59,1339.56,83.05,2024-07-19,2025-07-19,False,False,True
POL-903125759620,ZW-PH-1572426977,0EXBCTHBFYN0E9GGT,COMPREHENSIVE,BASIC,USD,EXPIRED,777.12,25438.73,2144.48,2024-07-15,2025-07-15,False,True,True
POL-050909806435,ZW-PH-8254406256,3MG8SGLNGY3WKPX40,COMPREHENSIVE,STANDARD,USD,ACTIVE,803.44,11003.03,709.70,2025-11-30,2026-11-30,True,False,False
POL-997123284543,ZW-PH-8254406256,NLBY2076FBPUYYFUG,COMPREHENSIVE,STANDARD,USD,ACTIVE,396.93,11460.84,801.11,2026-01-29,2027-01-29,False,False,False
POL-124421811979,ZW-PH-1834220595,PLF43ZXLRURPMRG1C,COMPREHENSIVE,PREMIUM,USD,ACTIVE,958.72,10095.96,589.60,2025-07-11,2026-07-11,False,False,False
